Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/05/2018 09:00 am,Moisture,% Moisture,15.5,%,,1,0.10,RMMA 2.1
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7429-90-5,Aluminum,1810,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/09/2018 09:29 am,7664-41-7,Ammonia N,0.16,% - dry,,,0.02,RMMA-4.1
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7440-42-8,Boron,<29.6,mg/Kg - dry,,10,29.6,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7440-70-2,Calcium,60400,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7440-50-8,Copper,102,mg/Kg - dry,,10,2.96,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7439-89-6,Iron,6140,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7439-95-4,Magnesium,3720,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7439-96-5,Manganese,296,mg/Kg - dry,,10,5.92,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,,Phosphorus,19400,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/05/2018 10:33 pm,7440-09-7,Potassium,1590,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/05/2018 10:33 pm,7440-23-5,Sodium,714,mg/Kg - dry,,10,296,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7704-34-9,Sulfur,2060,mg/Kg - dry,,10,59.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,09/07/2018 10:59 am,7664-41-7,Total Kjeldahl Nitrogen,0.994,% - dry,,,0.023,RMMA 3.1
18-180-0295,Corbet #5-6 House,Analytical Testing,WTN,Waypoint Analytical Inc., 93390,Solids,,06/29/2018 12:00 am,,07/04/2018 05:51 pm,7440-66-6,Zinc,1870,mg/Kg - dry,,10,5.92,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/05/2018 09:00 am,Moisture,% Moisture,35.2,%,,1,0.10,RMMA 2.1
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7429-90-5,Aluminum,5430,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/09/2018 09:29 am,7664-41-7,Ammonia N,0.07,% - dry,,,0.03,RMMA-4.1
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7440-42-8,Boron,<38.6,mg/Kg - dry,,10,38.6,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7440-70-2,Calcium,1220,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7440-50-8,Copper,5.35,mg/Kg - dry,,10,3.86,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7439-89-6,Iron,801,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7439-95-4,Magnesium,404,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7439-96-5,Manganese,<7.72,mg/Kg - dry,,10,7.72,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,,Phosphorus,1350,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/05/2018 10:38 pm,7440-09-7,Potassium,679,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7440-23-5,Sodium,<386,mg/Kg - dry,,10,386,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/05/2018 10:38 pm,7704-34-9,Sulfur,125,mg/Kg - dry,,10,77.2,AG TOTAL METALS
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,09/07/2018 10:59 am,7664-41-7,Total Kjeldahl Nitrogen,0.092,% - dry,,,0.030,RMMA 3.1
18-180-0295,Corbet #5-6 Lagoon,Analytical Testing,WTN,Waypoint Analytical Inc., 93391,Solids,,06/29/2018 12:00 am,,07/04/2018 05:56 pm,7440-66-6,Zinc,12.5,mg/Kg - dry,,10,7.72,AG TOTAL METALS
